source,Party,weight
2394150310,Azione - Italia Viva,5
2396162744,Azione - Italia Viva,13
2398143679,Azione - Italia Viva,24
2399733986,Azione - Italia Viva,29
2416067982,Azione - Italia Viva,89
2436742697,Azione - Italia Viva,27
24388245,Partito Democratico,6
2463073418,Forza Italia,99
2466589783,Partito Democratico,29
247222140,Fratelli d'Italia,9
2479620311,Azione - Italia Viva,217
2480246000,Azione - Italia Viva,29
2496213907,Fratelli d'Italia,6
2499664019,Azione - Italia Viva,12
2533217510,Fratelli d'Italia,6
2568875431,Azione - Italia Viva,8
2606389745,Partito Democratico,10
2648359400,Azione - Italia Viva,39
2666328385,Partito Democratico,6
266700017,Fratelli d'Italia,4
268516863,Partito Democratico,23
269737040,Partito Democratico,6
270839361,Lega,46
2719186852,Azione - Italia Viva,31
2784357288,Movimento 5s,10
279178016,Forza Italia,36
279196079,Fratelli d'Italia,4
2822852759,Azione - Italia Viva,13
283244749,Partito Democratico,4
2844269242,Azione - Italia Viva,19
2848115296,Azione - Italia Viva,10
28528873,Alleanza Verdi Sinistra,63
2873987157,Partito Democratico,11
2886982929,Partito Democratico,8
2888908630,Partito Democratico,7
2899612829,Fratelli d'Italia,5
2903757725,Azione - Italia Viva,4
2912838387,Azione - Italia Viva,6
291763976,Azione - Italia Viva,7
2945479804,Partito Democratico,8
2948429116,Lega,15
295024898,Movimento 5s,93
2951279819,Movimento 5s,8
2955233225,Fratelli d'Italia,13
2956811146,Azione - Italia Viva,123
2958168039,Azione - Italia Viva,36
29677727,Partito Democratico,7
297060762,Azione - Italia Viva,7
298248825,Partito Democratico,5
2983119910,Azione - Italia Viva,47
2999929357,Partito Democratico,4
3000102892,Azione - Italia Viva,5
3000958830,Azione - Italia Viva,39
3003900628,Lega,5
3004582659,Partito Democratico,7
301283324,Azione - Italia Viva,10
3014575779,Azione - Italia Viva,122
3042840742,Azione - Italia Viva,11
304312411,Azione - Italia Viva,28
305791501,Forza Italia,25
3092389516,Azione - Italia Viva,119
3095093693,Azione - Italia Viva,8
3120704082,Fratelli d'Italia,13
312613461,Alleanza Verdi Sinistra,34
3127155902,Azione - Italia Viva,8
314613895,Azione - Italia Viva,10
3155682418,Lega,49
3163728767,Partito Democratico,5
316578097,Azione - Italia Viva,12
3179503414,Partito Democratico,20
3194573930,Partito Democratico,7
3201907600,Azione - Italia Viva,9
322528854,Azione - Italia Viva,15
3230801999,Azione - Italia Viva,31
3239417698,Partito Democratico,4
3241062376,Partito Democratico,10
3245489297,Lega,6
3292552233,Azione - Italia Viva,7
3293203413,Fratelli d'Italia,22
3295067231,Partito Democratico,17
332885533,Movimento 5s,27
337135931,Azione - Italia Viva,6
337767301,Lega,6
339094915,Azione - Italia Viva,15
3399075250,Azione - Italia Viva,19
3416780741,Fratelli d'Italia,31
350810508,Lega,7
350982730,Partito Democratico,9
35298549,Partito Democratico,5
354165740,Partito Democratico,8
3546308429,Azione - Italia Viva,17
3547880116,Partito Democratico,10
360830746,Azione - Italia Viva,28
3688803513,Azione - Italia Viva,13
368956290,Partito Democratico,10
371781632,Azione - Italia Viva,105
372220527,Azione - Italia Viva,44
377333871,Movimento 5s,10
380199752,Partito Democratico,6
382542556,Forza Italia,25
3832606875,Forza Italia,13
38415203,Azione - Italia Viva,16
385861147,Partito Democratico,10
385897719,Partito Democratico,46
392987772,Partito Democratico,43
393392832,Partito Democratico,9
397508253,Partito Democratico,8
401568347,Azione - Italia Viva,62
4021937662,Fratelli d'Italia,7
404048864,Partito Democratico,10
409427594,Partito Democratico,5
411374950,Partito Democratico,7
4130639901,Alleanza Verdi Sinistra,35
416439103,Fratelli d'Italia,23
416463579,Partito Democratico,6
418809718,Movimento 5s,16
419622371,Partito Democratico,147
420995289,Partito Democratico,4
422062831,Azione - Italia Viva,9
423767651,Azione - Italia Viva,54
424084271,Fratelli d'Italia,17
424322762,Azione - Italia Viva,188
424823098,Azione - Italia Viva,15
4249461693,Partito Democratico,10
425174002,Azione - Italia Viva,8
425675322,Azione - Italia Viva,186
425686235,Alleanza Verdi Sinistra,42
428469345,Fratelli d'Italia,8
430544226,Fratelli d'Italia,12
432010151,Azione - Italia Viva,95
434279064,Azione - Italia Viva,20
435918580,Azione - Italia Viva,64
436499309,Azione - Italia Viva,7
439908934,Azione - Italia Viva,9
440129895,Partito Democratico,6
441948165,Partito Democratico,6
442225392,Fratelli d'Italia,6
442562471,Partito Democratico,11
4480481955,Partito Democratico,25
452294805,Partito Democratico,6
454018747,Azione - Italia Viva,21
455562995,Azione - Italia Viva,15
458347992,Azione - Italia Viva,19
460226131,Azione - Italia Viva,11
460408246,Fratelli d'Italia,12
46096501,Azione - Italia Viva,107
461132599,Partito Democratico,9
463766278,Partito Democratico,9
467573735,Fratelli d'Italia,4
468751888,Azione - Italia Viva,10
4712493267,Azione - Italia Viva,9
473035394,Azione - Italia Viva,18
4736673647,Partito Democratico,6
473829980,Movimento 5s,6
474175425,Partito Democratico,5
475736035,Alleanza Verdi Sinistra,7
47781017,Azione - Italia Viva,20
477994824,Azione - Italia Viva,6
4785762898,Azione - Italia Viva,82
478723143,Azione - Italia Viva,21
481929883,Movimento 5s,19
482029224,Partito Democratico,33
482096130,Partito Democratico,40
4824798082,Azione - Italia Viva,16
4827907465,Azione - Italia Viva,56
483051922,Partito Democratico,10
4877601425,Partito Democratico,17
490522414,Lega,6
492325083,Partito Democratico,14
4925616683,Azione - Italia Viva,8
492602588,Lega,9
493328725,Azione - Italia Viva,9
495125960,Movimento 5s,9
499934461,Partito Democratico,10
501171813,Partito Democratico,15
502737798,Azione - Italia Viva,5
50355977,Partito Democratico,59
507118418,Fratelli d'Italia,55
507652780,Fratelli d'Italia,5
507970638,Partito Democratico,12
510786998,Partito Democratico,7
51182604,Azione - Italia Viva,6
512463968,Azione - Italia Viva,19
520206776,Azione - Italia Viva,14
521421171,Azione - Italia Viva,43
522542520,Partito Democratico,20
52352494,Partito Democratico,13
532302047,Azione - Italia Viva,25
532551857,Fratelli d'Italia,11
535318339,Movimento 5s,6
542751775,Azione - Italia Viva,5
550588728,Partito Democratico,18
555649432,Azione - Italia Viva,13
555997804,Partito Democratico,4
559675568,Azione - Italia Viva,15
560203487,Partito Democratico,8
563773403,Fratelli d'Italia,6
56657613,Partito Democratico,5
567469106,Movimento 5s,8
57358236,Fratelli d'Italia,9
582152087,Movimento 5s,46
586401250,Azione - Italia Viva,11
586680141,Azione - Italia Viva,12
587782008,Azione - Italia Viva,182
593711002,Partito Democratico,24
593966072,Azione - Italia Viva,86
594455712,Forza Italia,18
599114492,Partito Democratico,5
600472039,Azione - Italia Viva,7
602903174,Lega,10
608014210,Azione - Italia Viva,10
608125539,Partito Democratico,26
618244710,Azione - Italia Viva,203
623027480,Azione - Italia Viva,181
67280822,Lega,5
701927677,Movimento 5s,57
702661167,Fratelli d'Italia,6
706097800040357889,Lega,5
713816113302388737,Lega,22
715454974185050112,Movimento 5s,9
722919613,Azione - Italia Viva,25
723898926,Fratelli d'Italia,10
724648551561728000,Azione - Italia Viva,142
734725512950603776,Azione - Italia Viva,25
740101940143591424,Partito Democratico,31
746638522539466752,Partito Democratico,5
750670310,Azione - Italia Viva,114
752010888,Movimento 5s,23
75299581,Azione - Italia Viva,100
757740565,Azione - Italia Viva,14
760935300189356032,Azione - Italia Viva,14
763718509805305856,Forza Italia,24
765974953925771266,Partito Democratico,8
76616277,Partito Democratico,24
767795023970697216,Movimento 5s,22
779713870877384704,Azione - Italia Viva,60
780443497,Partito Democratico,6
780739798625431552,Partito Democratico,47
783020674952626176,Azione - Italia Viva,67
78567974,Fratelli d'Italia,16
788101929977180161,Azione - Italia Viva,12
792793865489117184,Fratelli d'Italia,26
793367160341094400,Azione - Italia Viva,26
797374091959406592,Lega,5
801895595237670912,Azione - Italia Viva,34
805784088040841216,Azione - Italia Viva,55
806516322511319040,Azione - Italia Viva,7
808215598488489984,Azione - Italia Viva,29
81028217,Azione - Italia Viva,102
812853590,Partito Democratico,6
814196049476730880,Azione - Italia Viva,38
820489519,Fratelli d'Italia,20
82133282,Azione - Italia Viva,31
824532908207722496,Partito Democratico,6
824718107830845442,Partito Democratico,6
825377039318401024,Azione - Italia Viva,32
825456783435104256,Partito Democratico,12
825986695287959553,Azione - Italia Viva,8
828223254250786816,Partito Democratico,5
82829181,Azione - Italia Viva,5
832590570925195266,Azione - Italia Viva,107
832632777552048128,Partito Democratico,6
835122590,Azione - Italia Viva,67
837023040907116548,Partito Democratico,7
837129073,Azione - Italia Viva,62
838409034894098432,Partito Democratico,6
846733654592307204,Partito Democratico,8
847121852,Movimento 5s,15
85143600,Azione - Italia Viva,13
851456364,Azione - Italia Viva,89
852880495792852994,Azione - Italia Viva,14
853916380369956866,Azione - Italia Viva,24
857753196,Azione - Italia Viva,154
859445258362466305,Fratelli d'Italia,6
864021468048478208,Alleanza Verdi Sinistra,6
870620564444119040,Lega,8
875084476061188096,Azione - Italia Viva,7
875339752513449986,Partito Democratico,7
875841305833869312,Partito Democratico,6
878613406022078464,Azione - Italia Viva,213
880161000,Partito Democratico,5
881033998008373252,Azione - Italia Viva,6
881137152251318272,Azione - Italia Viva,104
882553959516446720,Azione - Italia Viva,8
886917343,Movimento 5s,9
888311462950785024,Azione - Italia Viva,145
894898911793565696,Partito Democratico,6
897417492569751552,Azione - Italia Viva,20
898261931475316736,Azione - Italia Viva,42
898851116145946624,Azione - Italia Viva,18
901024626402357248,Azione - Italia Viva,55
904559376,Azione - Italia Viva,112
