source,target,weight,p_value
1300916262369984512,460938833,7,0.030425084192161188
1300916262369984512,1306386785988157440,5,0.030903154382632636
1300916262369984512,366258436,5,0.031223194602839892
1300916262369984512,85941673,5,0.03125
1300916262369984512,2801547296,5,0.03195329447916845
1300916262369984512,1369741570614976512,5,0.03216860344409071
1300916262369984512,35227591,6,0.032423169597911874
1300916262369984512,4344764241,4,0.032904601586543694
1300916262369984512,1550043502989512704,5,0.033848613943440437
1300916262369984512,311317122,5,0.03421942052515382
1300916262369984512,2432366232,4,0.034486213221576946
1300916262369984512,89014481,7,0.034630467149399234
1300916262369984512,1426567311809515520,4,0.034784920427515326
1300916262369984512,907690766121795584,6,0.03536789985677902
1300916262369984512,2478737879,5,0.03536915889590703
1300916262369984512,541007327,6,0.035398646527374365
1300916262369984512,177937746,4,0.03549779079325702
1300916262369984512,1547829151100334080,6,0.03794219061730503
1300916262369984512,1219868695,4,0.03845891280928299
1300916262369984512,1434612491963801600,4,0.03861537278861735
1300916262369984512,1344705505978179584,8,0.03887249611029783
1300916262369984512,1275047630,6,0.039018442310623416
1300916262369984512,1326286523801640960,5,0.03940986902789421
1300916262369984512,1045290126,5,0.03975415667030874
1300916262369984512,1267570830940278784,6,0.04068685315560651
1300916262369984512,405482706,4,0.04123209974132221
1300916262369984512,1304503355356708864,7,0.04174019656454328
1300916262369984512,2786659652,4,0.04183476407780607
1300916262369984512,1231859115502247936,5,0.04285329741124916
1300916262369984512,1393890468216377344,4,0.044741586971516964
1300916262369984512,988825008,6,0.044757500872033916
1300916262369984512,719545452,4,0.04509974073219386
1300916262369984512,2328471661,5,0.04528132949503282
1300916262369984512,1482632439486898176,4,0.046329148387149355
1300916262369984512,183287158,7,0.04682643537133317
1300916262369984512,1478297786,6,0.046920066403907314
1300916262369984512,2912838387,4,0.04889361963461081
1300916262369984512,1095668360874999808,4,0.048924597415081754
1300916262369984512,1009904181761773568,5,0.04901102104612961
1300916262369984512,3977951957,4,0.049765458459348065
